t
e
s
t=========================================
program opened at: 2020-03-11 00:41:33.575053
=========================================
program opened at: 2020-03-11 00:42:46.448246
=========================================
program opened at: 2020-03-11 00:43:37.760299
=========================================
program opened at: 2020-03-11 00:44:12.246206
=========================================
program opened at: 2020-03-11 00:45:21.414743
=========================================
program opened at: 2020-03-11 00:45:47.680013
=========================================
program opened at: 2020-03-11 00:46:34.036884
=========================================
program opened at: 2020-03-11 00:48:28.316208
=========================================
program opened at: 2020-03-11 00:48:59.313692
=========================================
program opened at: 2020-03-11 00:49:17.401187
=========================================
program opened at: 2020-03-11 00:51:30.032984
=========================================
program opened at: 2020-03-11 00:51:46.116816
=========================================
program opened at: 2020-03-11 00:52:36.087776
=========================================
program opened at: 2020-03-11 00:53:27.308726
=========================================
program opened at: 2020-03-11 00:54:17.443111
=========================================
program opened at: 2020-03-11 00:54:28.300220
=========================================
program opened at: 2020-03-11 00:54:40.259414
=========================================
program opened at: 2020-03-11 00:55:24.620623
=========================================
program opened at: 2020-03-11 00:59:01.923473
=========================================
program opened at: 2020-03-11 00:59:20.930886
=========================================
program opened at: 2020-03-11 00:59:34.684825
=========================================
program opened at: 2020-03-11 01:05:06.609327
=========================================
program opened at: 2020-03-11 01:07:22.074870
=========================================
program opened at: 2020-03-11 01:07:32.442754
=========================================
program opened at: 2020-03-11 01:08:15.225456
=========================================
program opened at: 2020-03-11 01:11:25.945026
=========================================
program closed at: 2020-03-11 01:11:29.113550 
=========================================
program opened at: 2020-03-11 01:11:33.362191
=========================================
program closed at: 2020-03-11 01:11:47.564193 
=========================================
program opened at: 2020-03-11 01:14:41.974167
=========================================
program closed at: 2020-03-11 01:14:48.523600 
=========================================
program opened at: 2020-03-11 01:18:29.654761
=========================================
program closed at: 2020-03-11 01:18:42.106241 
=========================================
program opened at: 2020-03-11 22:46:28.151960
=========================================
program closed at: 2020-03-11 22:46:44.197880 
program opened at: 2020-03-20 01:14:59.470452 
program opened at: 2020-03-20 15:40:23.435592 
=========================================
program opened at: 2020-03-20 15:40:27.577153
Gesture recognized (C) at: 2020-03-20 15:43:54.295396 
Gesture recognized (C) at: 2020-03-20 15:43:55.155096 
Gesture recognized (C) at: 2020-03-20 15:43:55.262807 
Gesture recognized (C) at: 2020-03-20 15:43:55.354561 
Gesture recognized (C) at: 2020-03-20 15:43:55.443324 
Gesture recognized (C) at: 2020-03-20 15:43:55.537074 
Gesture recognized (C) at: 2020-03-20 15:43:55.629826 
Gesture recognized (C) at: 2020-03-20 15:43:55.716593 
Gesture recognized (C) at: 2020-03-20 15:43:57.800021 
Gesture recognized (C) at: 2020-03-20 15:43:57.893773 
Gesture recognized (C) at: 2020-03-20 15:43:57.982532 
Gesture recognized (C) at: 2020-03-20 15:43:58.082265 
Gesture recognized (C) at: 2020-03-20 15:43:58.175017 
Gesture recognized (C) at: 2020-03-20 15:43:58.270763 
Gesture recognized (C) at: 2020-03-20 15:43:58.366504 
Gesture recognized (C) at: 2020-03-20 15:43:59.260115 
Gesture recognized (C) at: 2020-03-20 15:43:59.399752 
Gesture recognized (C) at: 2020-03-20 15:43:59.604195 
Gesture recognized (C) at: 2020-03-20 15:43:59.738835 
Gesture recognized (C) at: 2020-03-20 15:43:59.875469 
Gesture recognized (C) at: 2020-03-20 15:44:00.006120 
Gesture recognized (C) at: 2020-03-20 15:44:00.195612 
Gesture recognized (C) at: 2020-03-20 15:44:01.001464 
Gesture recognized (C) at: 2020-03-20 15:44:01.107173 
Gesture recognized (C) at: 2020-03-20 15:44:01.207903 
Gesture recognized (C) at: 2020-03-20 15:44:01.303648 
Gesture recognized (C) at: 2020-03-20 15:44:01.398394 
Gesture recognized (C) at: 2020-03-20 15:44:01.490149 
Gesture recognized (C) at: 2020-03-20 15:44:01.586891 
Gesture recognized (C) at: 2020-03-20 15:44:02.386751 
Gesture recognized (C) at: 2020-03-20 15:44:02.490472 
Gesture recognized (C) at: 2020-03-20 15:44:02.594196 
Gesture recognized (C) at: 2020-03-20 15:44:02.693929 
Gesture recognized (C) at: 2020-03-20 15:44:02.791667 
Gesture recognized (C) at: 2020-03-20 15:44:02.889405 
Gesture recognized (C) at: 2020-03-20 15:44:02.991133 
Gesture recognized (C) at: 2020-03-20 15:44:03.798972 
Gesture recognized (C) at: 2020-03-20 15:44:03.885740 
Gesture recognized (C) at: 2020-03-20 15:44:03.986471 
Gesture recognized (C) at: 2020-03-20 15:44:04.092188 
Gesture recognized (C) at: 2020-03-20 15:44:04.191921 
Gesture recognized (C) at: 2020-03-20 15:44:04.291654 
Gesture recognized (C) at: 2020-03-20 15:44:04.395377 
Gesture recognized (C) at: 2020-03-20 15:44:05.170305 
Gesture recognized (C) at: 2020-03-20 15:44:05.263056 
Gesture recognized (C) at: 2020-03-20 15:44:05.383735 
Gesture recognized (C) at: 2020-03-20 15:44:05.512390 
Gesture recognized (C) at: 2020-03-20 15:44:05.634063 
Gesture recognized (C) at: 2020-03-20 15:44:05.751749 
Gesture recognized (C) at: 2020-03-20 15:44:05.895366 
Gesture recognized (C) at: 2020-03-20 15:44:06.760051 
Gesture recognized (C) at: 2020-03-20 15:44:06.859784 
Gesture recognized (C) at: 2020-03-20 15:44:06.949549 
Gesture recognized (C) at: 2020-03-20 15:44:07.057257 
Gesture recognized (C) at: 2020-03-20 15:44:07.151005 
Gesture recognized (C) at: 2020-03-20 15:44:07.242760 
Gesture recognized (C) at: 2020-03-20 15:44:07.342493 
Gesture recognized (C) at: 2020-03-20 15:44:08.115426 
Gesture recognized (C) at: 2020-03-20 15:44:08.208178 
Gesture recognized (C) at: 2020-03-20 15:44:08.297938 
Gesture recognized (C) at: 2020-03-20 15:44:08.407645 
Gesture recognized (C) at: 2020-03-20 15:44:08.497404 
Gesture recognized (C) at: 2020-03-20 15:44:08.590155 
Gesture recognized (C) at: 2020-03-20 15:44:08.687894 
Gesture recognized (C) at: 2020-03-20 15:44:09.421930 
Gesture recognized (C) at: 2020-03-20 15:44:09.513685 
Gesture recognized (C) at: 2020-03-20 15:44:09.606437 
Gesture recognized (C) at: 2020-03-20 15:44:09.699189 
Gesture recognized (C) at: 2020-03-20 15:44:09.797925 
Gesture recognized (C) at: 2020-03-20 15:44:09.894667 
Gesture recognized (C) at: 2020-03-20 15:44:09.983430 
Gesture recognized (C) at: 2020-03-20 15:44:10.727438 
Gesture recognized (C) at: 2020-03-20 15:44:10.817199 
Gesture recognized (C) at: 2020-03-20 15:44:10.912943 
Gesture recognized (C) at: 2020-03-20 15:44:11.011678 
Gesture recognized (C) at: 2020-03-20 15:44:11.131358 
Gesture recognized (C) at: 2020-03-20 15:44:11.253034 
Gesture recognized (C) at: 2020-03-20 15:44:11.382685 
Gesture recognized (C) at: 2020-03-20 15:44:12.318184 
Gesture recognized (C) at: 2020-03-20 15:44:12.430883 
Gesture recognized (C) at: 2020-03-20 15:44:12.528621 
Gesture recognized (C) at: 2020-03-20 15:44:12.643315 
Gesture recognized (C) at: 2020-03-20 15:44:12.750029 
Gesture recognized (C) at: 2020-03-20 15:44:12.877700 
Gesture recognized (C) at: 2020-03-20 15:44:12.986396 
Gesture recognized (C) at: 2020-03-20 15:44:13.754342 
Gesture recognized (C) at: 2020-03-20 15:44:13.857066 
Gesture recognized (C) at: 2020-03-20 15:44:13.950816 
Gesture recognized (C) at: 2020-03-20 15:44:14.045562 
Gesture recognized (C) at: 2020-03-20 15:44:14.137316 
Gesture recognized (C) at: 2020-03-20 15:44:14.231066 
Gesture recognized (C) at: 2020-03-20 15:44:14.334789 
Gesture recognized (C) at: 2020-03-20 15:44:15.139635 
Gesture recognized (C) at: 2020-03-20 15:44:15.238372 
Gesture recognized (C) at: 2020-03-20 15:44:15.336110 
Gesture recognized (C) at: 2020-03-20 15:44:15.434847 
Gesture recognized (C) at: 2020-03-20 15:44:15.534579 
Gesture recognized (C) at: 2020-03-20 15:44:15.627332 
Gesture recognized (C) at: 2020-03-20 15:44:15.723076 
Gesture recognized (C) at: 2020-03-20 15:44:16.486034 
Gesture recognized (C) at: 2020-03-20 15:44:16.586764 
Gesture recognized (C) at: 2020-03-20 15:44:16.690487 
Gesture recognized (C) at: 2020-03-20 15:44:16.791217 
Gesture recognized (C) at: 2020-03-20 15:44:16.891948 
Gesture recognized (C) at: 2020-03-20 15:44:16.984700 
Gesture recognized (C) at: 2020-03-20 15:44:17.082439 
Gesture recognized (C) at: 2020-03-20 15:44:17.831435 
Gesture recognized (C) at: 2020-03-20 15:44:17.929173 
Gesture recognized (C) at: 2020-03-20 15:44:18.022923 
Gesture recognized (C) at: 2020-03-20 15:44:18.120661 
Gesture recognized (C) at: 2020-03-20 15:44:18.216405 
Gesture recognized (C) at: 2020-03-20 15:44:18.306165 
Gesture recognized (C) at: 2020-03-20 15:44:18.395925 
Gesture recognized (C) at: 2020-03-20 15:44:19.158884 
Gesture recognized (C) at: 2020-03-20 15:44:19.247646 
======
program closed at: 2020-03-20 15:44:19.463122 
program opened at: 2020-03-20 15:56:56.287536 
=========================================
program opened at: 2020-03-20 15:56:59.227843
Gesture recognized (C) at: 2020-03-20 15:57:00.670983 
program opened at: 2020-03-20 15:57:41.487715 
=========================================
program opened at: 2020-03-20 15:57:44.044497
Gesture recognized (C) at: 2020-03-20 15:57:45.446749 
Gesture recognized (C) at: 2020-03-20 15:57:45.542490 
Gesture recognized (C) at: 2020-03-20 15:57:45.641225 
Gesture recognized (C) at: 2020-03-20 15:57:45.733977 
Gesture recognized (C) at: 2020-03-20 15:57:45.825732 
Gesture recognized (C) at: 2020-03-20 15:57:45.912499 
Gesture recognized (C) at: 2020-03-20 15:57:46.003256 
Gesture recognized (C) at: 2020-03-20 15:57:46.952718 
Gesture recognized (C) at: 2020-03-20 15:57:47.073394 
Gesture recognized (C) at: 2020-03-20 15:57:47.173127 
Gesture recognized (C) at: 2020-03-20 15:57:47.262887 
Gesture recognized (C) at: 2020-03-20 15:57:47.349658 
Gesture recognized (C) at: 2020-03-20 15:57:47.455373 
Gesture recognized (C) at: 2020-03-20 15:57:47.546130 
Gesture recognized (C) at: 2020-03-20 15:57:48.432759 
Gesture recognized (C) at: 2020-03-20 15:57:48.553436 
Gesture recognized (C) at: 2020-03-20 15:57:48.664139 
Gesture recognized (C) at: 2020-03-20 15:57:48.783820 
Gesture recognized (C) at: 2020-03-20 15:57:48.902501 
Gesture recognized (C) at: 2020-03-20 15:57:49.016197 
Gesture recognized (C) at: 2020-03-20 15:57:49.130891 
Gesture recognized (C) at: 2020-03-20 15:57:49.959674 
Gesture recognized (C) at: 2020-03-20 15:57:50.078355 
Gesture recognized (C) at: 2020-03-20 15:57:50.176094 
Gesture recognized (C) at: 2020-03-20 15:57:50.282808 
Gesture recognized (C) at: 2020-03-20 15:57:50.369579 
Gesture recognized (C) at: 2020-03-20 15:57:50.468312 
Gesture recognized (C) at: 2020-03-20 15:57:50.558073 
Gesture recognized (C) at: 2020-03-20 15:57:51.285127 
Gesture recognized (C) at: 2020-03-20 15:57:51.384861 
Gesture recognized (C) at: 2020-03-20 15:57:51.475618 
Gesture recognized (C) at: 2020-03-20 15:57:51.570367 
Gesture recognized (C) at: 2020-03-20 15:57:51.655137 
Gesture recognized (C) at: 2020-03-20 15:57:51.750881 
Gesture recognized (C) at: 2020-03-20 15:57:51.841639 
Gesture recognized (C) at: 2020-03-20 15:57:52.553735 
Gesture recognized (C) at: 2020-03-20 15:57:52.647483 
Gesture recognized (C) at: 2020-03-20 15:57:52.742231 
Gesture recognized (C) at: 2020-03-20 15:57:52.837973 
Gesture recognized (C) at: 2020-03-20 15:57:52.926736 
Gesture recognized (C) at: 2020-03-20 15:57:53.024475 
Gesture recognized (C) at: 2020-03-20 15:57:53.125206 
Gesture recognized (C) at: 2020-03-20 15:57:53.970943 
Gesture recognized (C) at: 2020-03-20 15:57:54.084640 
Gesture recognized (C) at: 2020-03-20 15:57:54.187364 
Gesture recognized (C) at: 2020-03-20 15:57:54.288094 
Gesture recognized (C) at: 2020-03-20 15:57:54.406778 
Gesture recognized (C) at: 2020-03-20 15:57:54.523465 
Gesture recognized (C) at: 2020-03-20 15:57:54.631177 
======
program closed at: 2020-03-20 15:57:54.860564 
program opened at: 2020-03-20 16:12:32.885734 
program opened at: 2020-03-20 16:26:35.453440 
program opened at: 2020-03-20 16:31:56.764050 
program opened at: 2020-03-20 16:34:00.401281 
program opened at: 2020-03-20 16:35:13.244635 
=========================================
program opened at: 2020-03-20 16:35:16.172109
Gesture recognized (C) at: 2020-03-20 16:35:17.529478 
Gesture recognized (C) at: 2020-03-20 16:35:17.624225 
Gesture recognized (C) at: 2020-03-20 16:35:17.718971 
Gesture recognized (C) at: 2020-03-20 16:35:17.811722 
Gesture recognized (C) at: 2020-03-20 16:35:17.904474 
Gesture recognized (C) at: 2020-03-20 16:35:17.996229 
Gesture recognized (C) at: 2020-03-20 16:35:18.082997 
Gesture recognized (C) at: 2020-03-20 16:35:18.788111 
Gesture recognized (C) at: 2020-03-20 16:35:18.878871 
Gesture recognized (C) at: 2020-03-20 16:35:18.975610 
Gesture recognized (C) at: 2020-03-20 16:35:19.076340 
Gesture recognized (C) at: 2020-03-20 16:35:19.180062 
Gesture recognized (C) at: 2020-03-20 16:35:19.286780 
Gesture recognized (C) at: 2020-03-20 16:35:19.381523 
Gesture recognized (C) at: 2020-03-20 16:35:20.105587 
Gesture recognized (C) at: 2020-03-20 16:35:20.195347 
Gesture recognized (C) at: 2020-03-20 16:35:20.288098 
Gesture recognized (C) at: 2020-03-20 16:35:20.381848 
Gesture recognized (C) at: 2020-03-20 16:35:20.472605 
Gesture recognized (C) at: 2020-03-20 16:35:20.568350 
Gesture recognized (C) at: 2020-03-20 16:35:20.655116 
Gesture recognized (C) at: 2020-03-20 16:35:21.373195 
Gesture recognized (C) at: 2020-03-20 16:35:21.470934 
Gesture recognized (C) at: 2020-03-20 16:35:21.562689 
Gesture recognized (C) at: 2020-03-20 16:35:21.648459 
Gesture recognized (C) at: 2020-03-20 16:35:21.738219 
Gesture recognized (C) at: 2020-03-20 16:35:21.822992 
Gesture recognized (C) at: 2020-03-20 16:35:21.918737 
Gesture recognized (C) at: 2020-03-20 16:35:22.687679 
Gesture recognized (C) at: 2020-03-20 16:35:22.780431 
======
program closed at: 2020-03-20 16:35:22.972916 
program opened at: 2020-03-20 17:07:25.040033 
=========================================
program opened at: 2020-03-20 17:07:29.761846
======
program closed at: 2020-03-20 17:07:40.018645 
program opened at: 2020-03-20 17:07:43.210980 
=========================================
program opened at: 2020-03-20 17:07:45.724246
======
program closed at: 2020-03-20 17:07:54.960566 
program opened at: 2020-03-22 12:03:45.213445 
=========================================
program opened at: 2020-03-22 12:03:48.652029
program opened at: 2020-03-22 12:04:36.692363 
=========================================
program opened at: 2020-03-22 12:04:39.938476
program opened at: 2020-03-22 12:05:17.191210 
=========================================
program opened at: 2020-03-22 12:05:20.424346
program opened at: 2020-03-22 12:07:50.841142 
=========================================
program opened at: 2020-03-22 12:07:54.089698
program opened at: 2020-03-22 12:15:21.307848 
=========================================
program opened at: 2020-03-22 12:15:24.682743
program opened at: 2020-03-22 12:18:04.708445 
=========================================
program opened at: 2020-03-22 12:18:07.982372
program opened at: 2020-03-22 12:31:07.198010 
=========================================
program opened at: 2020-03-22 12:31:12.933862
program opened at: 2020-03-22 12:32:24.694369 
=========================================
program opened at: 2020-03-22 12:32:27.945167
program opened at: 2020-03-22 12:37:18.802376 
=========================================
program opened at: 2020-03-22 12:37:22.116842
program opened at: 2020-03-22 12:38:26.414102 
=========================================
program opened at: 2020-03-22 12:38:29.693829
program opened at: 2020-03-22 12:41:02.798464 
=========================================
program opened at: 2020-03-22 12:41:06.077412
program opened at: 2020-03-22 12:42:09.549573 
=========================================
program opened at: 2020-03-22 12:42:13.031714
program opened at: 2020-03-22 12:44:59.876763 
=========================================
program opened at: 2020-03-22 12:45:03.189461
======
program closed at: 2020-03-22 12:45:11.061687 
program opened at: 2020-03-22 12:46:37.790650 
=========================================
program opened at: 2020-03-22 12:46:41.518120
======
program closed at: 2020-03-22 12:47:05.629937 
program opened at: 2020-03-22 12:49:27.130241 
=========================================
program opened at: 2020-03-22 12:49:30.400608
======
program closed at: 2020-03-22 12:50:21.454417 
program opened at: 2020-03-22 12:53:55.221589 
=========================================
program opened at: 2020-03-22 12:53:58.717361
======
program closed at: 2020-03-22 12:54:32.046837 
program opened at: 2020-03-22 12:54:37.865198 
=========================================
program opened at: 2020-03-22 12:54:40.898800
======
program closed at: 2020-03-22 12:55:03.361228 
program opened at: 2020-03-22 12:56:29.275682 
=========================================
program opened at: 2020-03-22 12:56:32.760213
======
program closed at: 2020-03-22 12:56:47.756575 
program opened at: 2020-03-22 13:00:49.299900 
=========================================
program opened at: 2020-03-22 13:00:52.583344
======
program closed at: 2020-03-22 13:01:12.489279 
program opened at: 2020-03-22 13:02:08.331442 
=========================================
program opened at: 2020-03-22 13:02:12.380759
======
program closed at: 2020-03-22 13:02:44.070287 
